门店名称,区,详细地址,经度,纬度
乐刻健身(上海南翔印象城MEGA店),嘉定区,南翔印象城B1-08b号,121.305975,31.305475
乐刻健身(恒久又一城店),嘉定区,金沙江西路1288号2楼205室乐刻运动,121.320912,31.241935
乐刻健身运动(嘉定大融城店),嘉定区,宝安公路3386号大融城F4层,121.279830,31.330704
乐刻运动(五彩城店),嘉定区,宝翔路801号五彩城F3层,121.317025,31.311838
乐刻运动健身(南翔太茂广场店),嘉定区,"丰翔路3168号,肯德基旁电梯直达四楼",121.325175,31.298775
乐刻健身(共富新村地铁站店),宝山区,共富新村地铁站3号口泰德科技园A座1-28室,121.433741,31.353306
乐刻健身(大华虎城中心店),宝山区,大华路518号大华虎城中心3层,121.413854,31.271314
乐刻健身(宝乐汇印象城店),宝山区,牡丹江路1569号宝乐汇印象城4楼乐刻健身,121.485475,31.399125
乐刻健身(宝山盛世乐坊店),宝山区,盛世尚优里乐坊3层(长江南路地铁站4号口步行310米),121.489975,31.334234
乐刻健身(龙湖上海宝山天街),宝山区,丹霞山路50弄1号龙湖上海宝山天街4层,121.362034,31.359166
乐刻运动健身(上海顾村公园店),宝山区,顾村镇陆翔路111弄11号楼201室,121.371494,31.345612
乐刻运动健身(丽都广场店),宝山区,友谊路2758号丽都广场F1层,121.435175,31.385075
乐刻运动健身(吾品田风尚天地店),宝山区,共和新路5000号2号楼3楼,121.444229,31.322202
乐刻运动健身(宝宸怡景园店),宝山区,场北路三泉路路口1859弄1933号2层宝宸怡景园2门边,121.435906,31.332761
乐刻运动健身(宝山万达精品馆),宝山区,一二八纪念路956号万达广场4楼苏宁百货入口处,121.447137,31.323672
乐刻运动健身(宝山华和路店),宝山区,华和路236号,121.405739,31.291109
乐刻运动健身(宝山新业坊店),宝山区,高境镇逸仙路1328号8幢2楼(新业坊源创园区8号楼),121.484354,31.319010
乐刻运动健身(宝山日月光店),宝山区,沪太路1933号日月光中心(宝山店)L4层,121.417519,31.295339
乐刻运动健身(宝山经纬汇店),宝山区,经地路99弄经纬汇1幢10号B1层01-08,121.399495,31.323728
乐刻运动健身(淞滨路北翼商厦店),宝山区,淞滨路600号北翼商厦F3层,121.494034,31.371780
乐刻运动健身(牡丹江路店),宝山区,牡丹江路1800号2楼,121.480818,31.407132
